City Name,Temperature,Maximum Temp,Wind,Cloudiness,Latitude,Longitude,Humidity
Ayr,7.91,8.0,12.35,75,55.4627,-4.6339,93
Qaanaaq,-15.08,-15.08,1.59,92,77.484,-69.3632,83
Avarua,28.0,28.0,3.6,90,-21.2078,-159.775,74
Ushuaia,18.0,18.0,5.66,40,-54.8,-68.3,45
Lensk,-11.78,-11.78,6.88,100,60.7253,114.9278,91
Ponta do Sol,10.84,13.33,2.68,22,32.6667,-17.1,53
Kathu,24.0,24.0,1.03,20,7.9178,98.3332,88
Guadalupe,26.95,29.0,6.17,75,25.6833,-100.25,34
Sohag,17.0,17.0,3.09,0,26.557,31.6948,31
Ibrā’,17.8,17.8,0.53,12,22.6906,58.5334,47
Leningradskiy,-24.81,-24.81,2.06,100,69.3833,178.4167,85
São Filipe,20.79,20.79,5.0,0,14.8961,-24.4956,77
Dingle,23.8,23.8,3.96,2,10.9995,122.6711,85
Chicama,24.0,24.0,3.09,75,-7.8447,-79.1469,83
Tasiilaq,-10.64,-10.64,0.8,77,65.6145,-37.6368,95
Mogadishu,26.01,26.01,7.03,5,2.0371,45.3438,82
Yellowknife,-18.52,-17.78,2.31,20,62.456,-114.3525,60
Nanortalik,-4.41,-4.41,1.06,90,60.1432,-45.2371,95
Port Macquarie,21.94,22.22,0.45,98,-31.4333,152.9167,86
Tuktoyaktuk,-20.0,-20.0,8.23,75,69.4541,-133.0374,71
Cuetzalan,24.0,24.0,3.09,75,20.0333,-97.5167,69
Olafsvik,1.6,1.6,14.12,94,64.8945,-23.7142,86
Kaitangata,12.35,12.35,4.15,100,-46.2817,169.8464,88
Sindou,28.47,28.47,0.92,15,10.6667,-5.1667,47
Nikolskoye,-18.73,-17.22,4.0,0,59.7035,30.7861,71
Alta Floresta,22.33,22.33,0.37,81,-9.8756,-56.0861,90
Bluff,13.33,13.33,1.34,100,-46.6,168.3333,94
Thompson,-5.0,-5.0,2.57,20,55.7435,-97.8558,39
Fairbanks,-3.25,-1.67,0.88,90,64.8378,-147.7164,68
Mehamn,-8.0,-8.0,7.72,0,71.0357,27.8492,57
Busselton,19.44,19.44,0.45,100,-33.65,115.3333,75
Bengkulu,23.94,23.94,2.02,91,-3.8004,102.2655,83
Vaini,27.0,27.0,4.63,20,-21.2,-175.2,57
Talaya,-24.38,-24.38,1.36,0,61.3833,152.75,77
Clyde River,-19.0,-19.0,7.72,75,70.4692,-68.5914,78
Karla,-8.4,-7.78,9.77,90,59.3723,24.9275,86
Breves,22.84,22.84,1.48,100,-1.6822,-50.4803,97
Khatanga,-31.09,-31.09,4.99,100,71.9667,102.5,86
Port Hedland,26.0,26.0,4.12,0,-20.3167,118.5667,94
Laguna,14.16,15.0,4.54,90,38.421,-121.4238,50
Altay,-2.43,-2.43,1.69,75,47.8667,88.1167,83
Gold Coast,24.31,24.44,2.57,37,-28.0,153.4333,69
Cooma,15.0,15.0,2.57,90,-36.2333,149.1333,72
Lompoc,14.06,15.0,8.23,1,34.6391,-120.4579,51
New Norfolk,12.7,15.0,0.45,6,-42.7826,147.0587,61
Agadez,25.36,25.36,4.23,0,19.75,10.25,14
Albert Lea,17.39,18.0,8.23,1,43.648,-93.3683,52
Oranjestad,27.0,27.0,8.75,40,12.524,-70.027,74
