City Name,Temperature,Maximum Temp,Wind,Cloudiness,Latitude,Longitude,Humidity
Te Anau,9.56,9.56,0.19,39,-45.4167,167.7167,83
Novikovo,-10.45,-10.45,3.19,0,51.1537,37.8879,71
Rozivka,-5.45,-5.45,4.34,0,46.9385,35.7724,40
Kapaa,22.57,23.33,4.12,75,22.0752,-159.319,88
Maceió,27.0,27.0,3.6,0,-9.6658,-35.7353,78
Kruisfontein,18.33,18.33,3.13,78,-34.0033,24.7314,81
Calabozo,36.26,36.26,3.43,0,8.9242,-67.4293,21
Tuktoyaktuk,-18.0,-18.0,5.66,90,69.4541,-133.0374,92
Bredasdorp,18.0,18.0,4.12,86,-34.5322,20.0403,82
Hilo,23.44,26.0,3.09,90,19.7297,-155.09,65
Rikitea,26.35,26.35,6.31,100,-23.1203,-134.9692,78
Severo-Kuril'sk,-3.42,-3.42,11.38,90,50.6789,156.125,89
East London,21.49,21.49,5.37,98,-33.0153,27.9116,71
Ushuaia,6.0,6.0,10.8,75,-54.8,-68.3,81
Carnarvon,24.0,24.0,4.12,40,-24.8667,113.6333,88
Ahero,22.0,22.0,2.06,0,-0.1746,34.9163,53
Punta Arenas,12.89,13.0,9.26,75,-53.15,-70.9167,62
Puerto Escondido,29.0,29.0,2.57,1,15.85,-97.0667,70
Dudinka,-35.08,-35.08,4.73,68,69.4058,86.1778,98
Hermanus,20.0,20.0,0.89,87,-34.4187,19.2345,72
Tabas,19.11,19.11,5.03,100,33.5959,56.9244,19
Porto Recanati,11.63,12.78,0.45,97,43.4365,13.6613,66
Port Elizabeth,19.0,19.0,7.2,90,-33.918,25.5701,77
Mariehamn,-1.0,-1.0,10.29,90,60.0973,19.9348,93
Srandakan,24.5,24.5,1.84,57,-7.9386,110.2506,88
Inta,-14.52,-14.52,10.04,100,66.0317,60.1659,90
Port Lincoln,18.27,18.27,3.42,0,-34.7333,135.8667,85
Arraial do Cabo,25.43,26.0,3.6,0,-22.9661,-42.0278,88
Trairi,26.82,26.82,4.62,93,-3.2778,-39.2689,78
Saint-Philippe,21.28,24.0,2.57,0,-21.3585,55.7679,60
Maibong,19.03,19.03,0.74,0,25.3,93.1667,51
Chokurdakh,-28.89,-28.89,2.98,61,70.6333,147.9167,84
Hong Kong,19.59,20.56,0.45,47,22.2855,114.1577,86
Faya,15.99,17.0,2.06,0,18.3851,42.4509,82
